회사명,종목코드
삼현철강,17480.KQ
상신이디피,91580.KQ
서린바이오,38070.KQ
서울바이오시스,92190.KQ
서전기전,189860.KQ
서플러스글로벌,140070.KQ
선광,3100.KQ
선익시스템,171090.KQ
세림B&G,340440.KQ
세보엠이씨,11560.KQ
세아메카닉스,396300.KQ
센코,347000.KQ
셀레믹스,331920.KQ
셀루메드,49180.KQ
셀바스AI,108860.KQ
셀바이오휴먼텍,318160.KQ
소룩스,290690.KQ
수산아이앤티,50960.KQ
슈피겐코리아,192440.KQ
스킨앤스킨,159910.KQ
스톤브릿지벤처스,330730.KQ
스튜디오산타클로스,204630.KQ
시너지이노베이션,48870.KQ
시지메드텍,56090.KQ
신신제약,2800.KQ
신한제14호스팩,487360.KQ
신흥에스이씨,243840.KQ
심텍홀딩스,36710.KQ
쎄트렉아이,99320.KQ
쎌바이오텍,49960.KQ
씨싸이트,109670.KQ
씨젠,96530.KQ
씨티케이,260930.KQ
아모센스,357580.KQ
아미노로직스,74430.KQ
아비코전자,36010.KQ
아이디피,332370.KQ
아이엠비디엑스,461030.KQ
아이티센,124500.KQ
알파녹스,43100.KQ
애머릿지,900100.KQ
앤디포스,238090.KQ
에스디시스템,121890.KQ
에스앤디,260970.KQ
에스에스알,275630.KQ
에스와이,109610.KQ
에스코넥,96630.KQ
에스피소프트,443670.KQ
에이디칩스,54630.KQ
에이에스텍,453860.KQ
에이치시티,72990.KQ
에이치엠씨제7호스팩,477340.KQ
에이텍,45660.KQ
에이프로,262260.KQ
에이프릴바이오,397030.KQ
에프엔에스테크,83500.KQ
엔에이치스팩25호,438580.KQ
엔에이치스팩31호,481890.KQ
엘앤씨바이오,290650.KQ
엠디바이스,226590.KQ
엠브레인,169330.KQ
엠아이큐브솔루션,373170.KQ
엠케이전자,33160.KQ
오공,45060.KQ
와이씨켐,112290.KQ
와이어블,65530.KQ
와이엔텍,67900.KQ
와이오엠,66430.KQ
와이제이링크,209640.KQ
와이즈버즈,273060.KQ
와이지엔터테인먼트,122870.KQ
우리바이오,82850.KQ
우양에이치씨,101970.KQ
우진엔텍,457550.KQ
원익IPS,240810.KQ
원일특강,12620.KQ
원준,382840.KQ
원텍,336570.KQ
웨이버스,336060.KQ
위니아에이드,377460.KQ
위닉스,44340.KQ
유니온커뮤니티,203450.KQ
유라클,88340.KQ
유아이디,69330.KQ
유아이엘,49520.KQ
유안타제16호스팩,474490.KQ
유진스팩11호,488060.KQ
이노룰스,296640.KQ
이랜텍,54210.KQ
이렘,9730.KQ
이브이첨단소재,131400.KQ
이스트아시아홀딩스,900110.KQ
이엔셀,456070.KQ
이지트로닉스,377330.KQ
이크레더블,92130.KQ
이트론,96040.KQ
인성정보,33230.KQ
인터엠,17250.KQ
일승,333430.KQ
잉크테크,49550.KQ
정다운,208140.KQ
정상제이엘에스,40420.KQ
제우스,79370.KQ
제일바이오,52670.KQ
제일일렉트릭,199820.KQ
젬백스,82270.KQ
조이시티,67000.KQ
주성엔지니어링,36930.KQ
중앙에너비스,440.KQ
지어소프트,51160.KQ
지에스이,53050.KQ
지엘팜텍,204840.KQ
진양제약,7370.KQ
창해에탄올,4650.KQ
카페24,42000.KQ
캐리소프트,317530.KQ
캡스톤파트너스,452300.KQ
컴투스홀딩스,63080.KQ
케이엘넷,39420.KQ
케이프,64820.KQ
케이피에프,24880.KQ
케일럼,258610.KQ
코닉오토메이션,391710.KQ
코리아나,27050.KQ
코미코,183300.KQ
코세스,89890.KQ
코칩,126730.KQ
코텍,52330.KQ
퀄리타스반도체,432720.KQ
큐렉소,60280.KQ
큐브엔터,182360.KQ
크리스탈신소재,900250.KQ
키움제10호스팩,487720.KQ
키움제8호스팩,446840.KQ
탑엔지니어링,65130.KQ
테고사이언스,191420.KQ
토비스,51360.KQ
투비소프트,79970.KQ
티이엠씨씨엔에스,241790.KQ
파라텍,33540.KQ
파버나인,177830.KQ
파워로직스,47310.KQ
파커스,65690.KQ
포니링크,64800.KQ
포스코엠텍,9520.KQ
폴라리스오피스,41020.KQ
푸드나무,290720.KQ
푸른소나무,57880.KQ
프레스티지바이오로직스,334970.KQ
프로이천,321260.KQ
프롬바이오,377220.KQ
플래티어,367000.KQ
플레이디,237820.KQ
피씨엘,241820.KQ
피앤에스미캐닉스,460940.KQ
피에이치에이,43370.KQ
피엔에이치테크,239890.KQ
핑거스토리,417180.KQ
하나26호스팩,446750.KQ
하스,450330.KQ
하이제8호스팩,450050.KQ
한네트,52600.KQ
한솔인티큐브,70590.KQ
한주에이알티,58450.KQ
현대사료,16790.KQ
형지글로벌,308100.KQ
화인써키트,127980.KQ
휴림에이텍,78590.KQ
휴마시스,205470.KQ
휴먼테크놀로지,175140.KQ
